Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status,Exit_Efficiency_Fixed,Trade_Quality,X_Status
NFLX_SMA_2025-06-22,NFLX,SMA,27,48,0,2025-06-22 16:52:38,2025-09-16 16:52:38,327.3357110702186,124.44312114789122,1.0,Long,249.16,0.2492,18,Long,Closed,298.990004,74.747501,1.7,0.5186,91,249.1583,Favorable,0.8656,Excellent,1771796962164243
AMZN_SMA_2025-07-26,AMZN,SMA,22,44,0,2025-07-26 16:52:38,2025-08-22 16:52:38,193.0778419439748,238.69647440557662,1.0,Long,-48.84,-0.0488,89,Long,Closed,58.613136,14.653284,2.62,0.7574,68,-48.8443,Adverse,0.6163,Excellent,3712029288170019
AAPL_SMA_2025-02-16,AAPL,SMA,22,36,0,2025-02-16 16:52:38,2025-05-31 16:52:38,379.74283464604827,192.39071596962248,1.0,Long,-87.44,-0.0874,74,Long,Closed,104.926888,26.231722,7.99,0.584,15,-87.4391,Adverse,0.7912,Excellent,8013593475246523
AMZN_SMA_2025-07-17,AMZN,SMA,21,35,0,2025-07-17 16:52:38,2025-09-09 16:52:38,390.7310725785227,173.9531128172335,1.0,Long,232.57,0.2326,94,Long,Closed,279.087913,69.771978,1.87,0.9051,77,232.5733,Favorable,0.5566,Excellent,4151606163414500
CRWD_EMA_2025-05-29,CRWD,EMA,26,51,0,2025-05-29 16:52:38,2025-08-27 16:52:38,474.4300793949892,453.98475686569094,1.0,Long,397.69,0.3977,74,Long,Closed,477.22781,119.306953,9.62,0.5852,91,397.6898,Favorable,0.8313,Excellent,8181285058294283
TSLA_EMA_2025-02-15,TSLA,EMA,24,47,0,2025-02-15 16:52:38,2025-05-27 16:52:38,396.0660012258063,234.48695118390557,1.0,Long,54.71,0.0547,9,Long,Closed,65.657519,16.41438,9.3,0.714,10,54.7146,Favorable,0.6326,Excellent,6452920241555310
GOOGL_EMA_2025-05-29,GOOGL,EMA,23,45,0,2025-05-29 16:52:38,2025-07-28 16:52:38,198.93971411517705,208.77223431894242,1.0,Long,-215.37,-0.2154,31,Long,Closed,258.443091,64.610773,8.53,0.8552,67,-215.3692,Adverse,0.9373,Excellent,2764752901366055
COST_SMA_2025-04-22,COST,SMA,17,67,0,2025-04-22 16:52:38,2025-07-22 16:52:38,441.12129333364555,381.26973855398944,1.0,Long,-16.37,-0.0164,74,Long,Closed,19.647679,4.91192,6.77,0.9131,35,-16.3731,Adverse,0.6322,Excellent,5552506563849361
NVDA_SMA_2025-05-27,NVDA,SMA,7,56,0,2025-05-27 16:52:38,2025-08-20 16:52:38,334.1733409437203,270.88884191135037,1.0,Long,-48.51,-0.0485,20,Long,Closed,58.212746,14.553187,4.92,0.5913,24,-48.5106,Adverse,0.5598,Excellent,9268849809821456
MSFT_EMA_2025-06-13,MSFT,EMA,9,44,0,2025-06-13 16:52:38,2025-09-05 16:52:38,197.3604612771127,407.28642328122424,1.0,Long,-184.51,-0.1845,18,Long,Closed,221.412485,55.353121,1.69,0.9837,48,-184.5104,Adverse,0.8613,Excellent,6298720706332440
AAPL_SMA_2025-08-02,AAPL,SMA,7,63,0,2025-08-02 16:52:38,2025-10-10 16:52:38,274.2801183449791,454.76863064621693,1.0,Long,-206.24,-0.2062,30,Long,Closed,247.485178,61.871294,1.34,0.8972,61,-206.2376,Adverse,0.7602,Excellent,6806133300156692
NVDA_SMA_2025-05-01,NVDA,SMA,18,51,0,2025-05-01 16:52:38,2025-08-24 16:52:38,295.32632461580914,397.2022102177768,1.0,Long,140.83,0.1408,44,Long,Closed,168.994364,42.248591,6.77,0.5848,53,140.8286,Favorable,0.5974,Excellent,6876666161146336
COST_EMA_2025-03-17,COST,EMA,22,61,0,2025-03-17 16:52:38,2025-05-14 16:52:38,345.52891331371205,115.96415733654513,1.0,Long,75.94,0.0759,99,Long,Closed,91.128129,22.782032,5.96,0.9592,69,75.9401,Favorable,0.6925,Excellent,6451253480772373
NFLX_SMA_2025-06-02,NFLX,SMA,8,68,0,2025-06-02 16:52:38,2025-07-08 16:52:38,244.2632301766912,299.72446319154915,1.0,Long,-276.76,-0.2768,117,Long,Closed,332.110672,83.027668,9.97,0.5668,9,-276.7589,Adverse,0.642,Excellent,7694153831223722
COST_SMA_2025-02-18,COST,SMA,22,61,0,2025-02-18 16:52:38,2025-05-12 16:52:38,482.14076456065305,346.0744925949229,1.0,Long,-37.74,-0.0377,69,Long,Closed,45.282124,11.320531,6.41,0.6497,19,-37.7351,Adverse,0.7514,Excellent,7984955487567345
